Date,Machine,p1,p1_emission_ratio,p2,p2_emission_ratio,dephasing_error,p_crosstalk_meas,p_crosstalk_init,p_meas_0,p_meas_1
2022_06_09,H1-1,3.8e-05,,0.0024,,0.00034,1.2e-05,,0.0013,0.0042
2022_06_09,H1-2,3.4e-05,,0.0025,,0.00034,5.2e-05,,0.0018,0.0046
2023_01_20,H1-1,4.5e-05,0.0,0.00215,0.36,0.00014,7e-06,,0.002,0.004
2023_03_10,H2-1,2.7e-05,0.3,0.00193,0.38,0.00022,4.4e-06,,0.0009,0.0022
2023_07_17,H1-1,3.2e-05,0.3,0.00147,0.47,0.00018,8.7e-06,,0.0013,0.004
2023_08_21,H1-2,6e-05,0.5,0.003,0.19,0.00043,3.4e-05,,0.0012,0.0053
2024_04_10,H1-1,2.4e-05,0.48,0.00093,0.4,0.00021,1.5e-05,,0.001,0.004
2024_05_20,H2-1,3.4e-05,0.6,0.00136,0.45,0.0005,7.4e-06,,0.0005,0.0025
2024_12_06,H2-2,8e-05,0.3,0.0014,0.56,0.00053,6.3e-06,,0.0009,0.0018
